,GSE_X,GSE_Y,GSE_Z,RANGE,HGLAT,HGLONG,CRN(E)
2022-01-01 09:10:00,193.79521917372216,-16.320450393540295,14.923401887739104,145.87132607789255,-3.036676314193363,137.45257505188448,2252.0
2022-01-01 09:20:00,193.79516038570085,-16.2920620696143,14.924071516149263,145.8713157126773,-3.036676314193363,137.39527927237143,2252.0
2022-01-01 09:30:00,193.7951006491063,-16.26367180777673,14.924739832235812,145.8713053794247,-3.036676314193363,137.28068771334523,2252.0
2022-01-01 09:40:00,193.79503996393854,-16.235279614299152,14.925406831295078,145.87129507813097,-3.036676314193363,137.22339193383218,2252.0
2022-01-01 09:50:00,193.79497832862964,-16.20688549388523,14.926072516462842,145.87128480880446,-3.036676314193363,137.10880037480598,2252.0
2022-01-01 10:00:00,193.79491574004388,-16.178489449670746,14.926736887739104,145.87127457144746,-3.036676314193363,136.99420881577984,2252.0
2022-01-01 10:10:00,193.79485219974913,-16.15009148949514,14.927399943555974,145.87126436605044,-3.036676314193363,136.93691303626676,2252.0
2022-01-01 10:20:00,193.7947877030417,-16.121691618062087,14.928061685481342,145.87125419262736,-3.036676314193363,136.8223214772406,2252.0
2022-01-01 10:30:00,193.79472224992162,-16.09328983850737,14.928722115083097,145.87124405117478,-3.036676314193363,136.7650256977275,2252.0
2022-01-01 10:40:00,193.79465583882094,-16.06488615710254,14.929381229225461,145.8712339417084,-3.036676314193363,136.6504341387013,2252.0
2022-01-01 10:50:00,193.79458846973972,-16.03648057855127,14.930039031044215,145.87122386420506,-3.036676314193363,136.53584257967518,2252.0
2022-01-01 11:00:00,193.79452013954216,-16.008073109125117,14.930695518971465,145.87121381870014,-3.036676314193363,136.4785468001621,2252.0
2022-01-01 11:10:00,193.7944508450925,-15.97966375352775,14.931350693007213,145.87120380517038,-3.036676314193363,136.36395524113593,2252.0
2022-01-01 11:20:00,193.7943805895265,-15.95125251646284,14.932004554719347,145.8711938236197,-3.036676314193363,136.30665946162284,2252.0
2022-01-01 11:30:00,193.7943093681405,-15.922839404201945,14.93265710410787,145.8711838740679,-3.036676314193363,136.19206790259668,2252.0
2022-01-01 11:40:00,193.79423717936658,-15.89442441988084,14.933308341172781,145.8711739565053,-3.036676314193363,136.0774763435705,2252.0
2022-01-01 11:50:00,193.79416402477267,-15.866007569771089,14.93395826434619,145.8711640709338,-3.036676314193363,136.02018056405745,2252.0
2022-01-01 12:00:00,193.79408989965506,-15.837588858576357,14.934606876763874,145.87115421735538,-3.036676314193363,135.90558900503126,2252.0
2022-01-01 12:10:00,193.79401480401378,-15.809168292568202,14.93525417685795,145.87114439577795,-3.036676314193363,135.84829322551818,2252.0
2022-01-01 12:20:00,193.79393873628098,-15.780745876450299,14.93590016462841,145.87113460620532,-3.036676314193363,135.73370166649204,2252.0
