; PROGRAM=VOFLX_CR5A
; VERSION= V2.6    05-MAY-2016     
; RUN_TIME=22-Oct-14 17:17:26  
; SECTORS_SELECTED=1,2,3,5,6,7       
;
;
;
;  s/c	  Start_Year	   Start_Day	   End_Year	    End_Day	  Ave._Year	  Std._Year	   Z	   A	          E/n	      (delta)E/2	         Emin	         Emax	      Raw_Flux	     Raw_Sigma	     Alpha	    dAlpha	          Flux	         sigma	S1	S2	S3	S4	S5	S6	S7	S8	SU
     1	        1999	           1	       1999	        365	   1999.503	   1999.502	  14	  28	      20.1110	          3.5910	      16.5200	      23.7020	    7.9242E-07	    2.8016E-07	    -1.000	    -1.000	    7.9242E-07	    2.8016E-07	1	1	1	0	1	1	1	0	0
     1	        1999	           1	       1999	        365	   1999.503	   1999.502	  14	  28	      29.0680	          5.3660	      23.7020	      34.4340	    9.9431E-07	    2.5673E-07	    -1.000	    -1.000	    9.9431E-07	    2.5673E-07	1	1	1	0	1	1	1	0	0
     1	        1999	           1	       1999	        365	   1999.503	   1999.502	  14	  28	      45.5785	         11.1445	      34.4340	      56.7230	    0.0000E+00	    0.0000E+00	    -1.000	    -1.000	    0.0000E+00	    0.0000E+00	1	1	1	0	1	1	1	0	0
     1	        1999	           1	       1999	        365	   1999.503	   1999.502	  14	  28	      76.1605	         11.7595	      64.4010	      87.9200	    0.0000E+00	    0.0000E+00	    -1.000	    -1.000	    0.0000E+00	    0.0000E+00	1	1	1	0	1	1	1	0	0
     1	        1999	           1	       1999	        365	   1999.503	   1999.502	  16	  32	      19.3750	          3.0220	      16.3530	      22.3970	    3.5311E-07	    2.0387E-07	    -1.000	    -1.000	    3.5311E-07	    2.0387E-07	1	1	1	0	1	1	1	0	0
     1	        1999	           1	       1999	        365	   1999.503	   1999.502	  16	  32	      28.5630	          6.1660	      22.3970	      34.7290	    5.7687E-08	    5.7687E-08	    -1.000	    -1.000	    5.7687E-08	    5.7687E-08	1	1	1	0	1	1	1	0	0
     1	        1999	           1	       1999	        365	   1999.503	   1999.502	  16	  32	      47.4270	         12.6980	      34.7290	      60.1250	    0.0000E+00	    0.0000E+00	    -1.000	    -1.000	    0.0000E+00	    0.0000E+00	1	1	1	0	1	1	1	0	0
     1	        1999	           1	       1999	        365	   1999.503	   1999.502	  16	  32	      81.4865	         13.4825	      68.0040	      94.9690	    0.0000E+00	    0.0000E+00	    -1.000	    -1.000	    0.0000E+00	    0.0000E+00	1	1	1	0	1	1	1	0	0
     1	        1999	           1	       1999	        365	   1999.503	   1999.502	  18	  40	       1.5220	          0.4000	       1.1220	       1.9220	    5.7520E-06	    1.8189E-06	    -1.000	    -1.000	    5.7520E-06	    1.8189E-06	1	1	1	0	1	1	1	0	0
     1	        1999	           1	       1999	        365	   1999.503	   1999.502	  18	  40	       2.5410	          0.6190	       1.9220	       3.1600	    1.4868E-06	    7.4339E-07	    -1.000	    -1.000	    1.4868E-06	    7.4339E-07	1	1	1	0	1	1	1	0	0
     1	        1999	           1	       1999	        365	   1999.503	   1999.502	  18	  40	       7.0610	          3.9010	       3.1600	      10.9620	    0.0000E+00	    0.0000E+00	    -1.000	    -1.000	    0.0000E+00	    0.0000E+00	1	1	1	0	1	1	1	0	0
     1	        1999	           1	       1999	        365	   1999.503	   1999.502	  18	  40	      19.3445	          4.2625	      15.0820	      23.6070	    3.3379E-07	    1.6690E-07	    -1.000	    -1.000	    3.3379E-07	    1.6690E-07	1	1	1	0	1	1	1	0	0
     1	        1999	           1	       1999	        365	   1999.503	   1999.502	  18	  40	      36.3815	         12.7745	      23.6070	      49.1560	    0.0000E+00	    0.0000E+00	    -1.000	    -1.000	    0.0000E+00	    0.0000E+00	1	1	1	0	1	1	1	0	0
     1	        1999	           1	       1999	        365	   1999.503	   1999.502	  18	  40	      80.7955	         13.7135	      67.0820	      94.5090	    0.0000E+00	    0.0000E+00	    -1.000	    -1.000	    0.0000E+00	    0.0000E+00	1	1	1	0	1	1	1	0	0
     1	        1999	           1	       1999	        365	   1999.503	   1999.502	  26	  56	       0.5585	          0.0975	       0.4610	       0.6560	    2.3598E-06	    2.3598E-06	    -1.000	    -1.000	    2.3598E-06	    2.3598E-06	1	1	1	0	1	1	1	0	0
     1	        1999	           1	       1999	        365	   1999.503	   1999.502	  26	  56	       0.8315	          0.1755	       0.6560	       1.0070	    1.3110E-06	    1.3110E-06	    -1.000	    -1.000	    1.3110E-06	    1.3110E-06	1	1	1	0	1	1	1	0	0
     1	        1999	           1	       1999	        365	   1999.503	   1999.502	  26	  56	       1.2930	          0.2860	       1.0070	       1.5790	    0.0000E+00	    0.0000E+00	    -1.000	    -1.000	    0.0000E+00	    0.0000E+00	1	1	1	0	1	1	1	0	0
     1	        1999	           1	       1999	        365	   1999.503	   1999.502	  26	  56	       2.1095	          0.5305	       1.5790	       2.6400	    4.3370E-07	    4.3370E-07	    -1.000	    -1.000	    4.3370E-07	    4.3370E-07	1	1	1	0	1	1	1	0	0
     1	        1999	           1	       1999	        365	   1999.503	   1999.502	  26	  56	      19.1290	          3.2320	      15.8970	      22.3610	    3.3016E-07	    1.9062E-07	    -1.000	    -1.000	    3.3016E-07	    1.9062E-07	1	1	1	0	1	1	1	0	0
     1	        1999	           1	       1999	        365	   1999.503	   1999.502	  26	  56	      30.3450	          7.9840	      22.3610	      38.3290	    0.0000E+00	    0.0000E+00	    -1.000	    -1.000	    0.0000E+00	    0.0000E+00	1	1	1	0	1	1	1	0	0
